date,first_token_price,token_amount,dai_amount,type
24.09.2018 14:24:00,5,100,500,BUY
25.09.2018 02:33:12,8,100,800,BUY
25.09.2018 05:32:27,20,500,10000,BUY
26.09.2018 20:22:09,26,200,5200,BUY
28.09.2018 20:08:30,32,300,9600,BUY
29.09.2018 20:56:52,38,800,30400,BUY
01.10.2018 12:25:12,47,600,28200,BUY
03.10.2018 00:55:46,56,400,22400,BUY
03.10.2018 18:07:34,62,900,55800,BUY
05.10.2018 14:55:37,67,1000,67000,BUY
07.10.2018 11:20:10,75,900,67500,BUY
09.10.2018 03:14:15,83,300,24900,BUY
09.10.2018 10:42:43,88,200,17600,BUY
11.10.2018 02:16:07,96,700,67200,BUY
12.10.2018 21:45:56,105,800,84000,BUY
13.10.2018 21:25:40,92,300,27600,SELL
14.10.2018 14:33:33,83,800,66400,SELL
16.10.2018 03:09:51,76,600,45600,SELL
17.10.2018 10:55:18,81,500,40500,BUY
19.10.2018 10:43:46,89,200,17800,BUY
20.10.2018 09:32:26,96,300,28800,BUY
20.10.2018 12:15:18,100,800,80000,BUY
21.10.2018 07:50:27,104,600,62400,BUY
22.10.2018 17:04:06,106,400,42400,BUY
23.10.2018 10:11:51,116,900,104400,BUY
24.10.2018 08:25:26,125,1000,125000,BUY
25.10.2018 22:17:10,127,200,25400,BUY
27.10.2018 10:36:21,134,300,40200,BUY
28.10.2018 01:03:26,140,1000,140000,BUY
29.10.2018 07:43:23,110,600,66000,SELL
29.10.2018 15:22:35,103,500,51500,SELL
30.10.2018 16:30:12,95,200,19000,SELL
31.10.2018 11:31:37,101,300,30300,BUY
31.10.2018 14:30:20,113,800,90400,BUY
01.11.2018 09:56:52,116,600,69600,BUY
02.11.2018 15:52:05,134,400,53600,BUY
03.11.2018 22:24:42,142,900,127800,BUY
04.11.2018 03:57:15,158,1000,158000,BUY
06.11.2018 00:42:34,165,200,33000,BUY
06.11.2018 14:55:25,160,300,48000,SELL
07.11.2018 16:21:41,158,1000,158000,SELL
09.11.2018 01:46:02,152,100,15200,SELL
10.11.2018 13:14:23,158,100,15800,BUY
11.11.2018 20:59:18,168,500,84000,BUY
12.11.2018 22:46:07,173,200,34600,BUY
13.11.2018 03:45:51,178,300,53400,BUY
14.11.2018 12:47:40,183,800,146400,BUY
15.11.2018 05:48:46,192,600,115200,BUY
16.11.2018 17:46:32,193,400,77200,BUY
16.11.2018 21:36:30,197,900,177300,BUY
17.11.2018 12:45:33,194,1000,194000,SELL
19.11.2018 02:14:00,165,900,148500,SELL
20.11.2018 16:07:36,169,300,50700,BUY
22.11.2018 00:43:39,174,200,34800,BUY
23.11.2018 08:22:32,161,700,112700,SELL
23.11.2018 22:56:57,170,800,143200,BUY
25.11.2018 19:37:33,185,300,60600,BUY
26.11.2018 06:49:19,207,800,177600,BUY
27.11.2018 18:06:29,221,600,145800,BUY
29.11.2018 16:30:40,221,500,136000,BUY
01.12.2018 12:54:38,251,200,56800,BUY
03.12.2018 08:06:24,263,300,87600,BUY
04.12.2018 02:41:42,272,800,248000,BUY
05.12.2018 19:19:47,282,600,192600,BUY
07.12.2018 19:08:43,275,400,130800,SELL
08.12.2018 09:37:08,249,900,302400,SELL
09.12.2018 00:31:58,234,1000,345000,SELL
10.12.2018 17:40:19,256,200,71200,BUY
12.12.2018 12:04:14,285,300,111600,BUY
13.12.2018 09:33:02,289,1000,388000,BUY
13.12.2018 13:35:50,293,600,247800,BUY
15.12.2018 02:12:18,281,500,140500,SELL
16.12.2018 12:36:33,254,200,50800,SELL
17.12.2018 15:38:03,236,300,70800,SELL
17.12.2018 18:35:16,217,800,173600,SELL
18.12.2018 09:41:29,199,600,119400,SELL
20.12.2018 03:56:11,189,400,75600,SELL
21.12.2018 08:06:22,187,900,168300,SELL
23.12.2018 05:24:15,176,1000,176000,SELL
24.12.2018 19:53:35,173,200,34600,SELL
26.12.2018 12:33:48,150,300,45000,SELL
28.12.2018 10:42:48,135,1000,135000,SELL
30.12.2018 01:26:05,155,600,93000,BUY
31.12.2018 20:39:59,171,800,136800,BUY
01.01.2019 10:33:59,186,300,55800,BUY
03.01.2019 06:36:29,200,900,180000,BUY
03.01.2019 19:25:09,197,800,157600,SELL
04.01.2019 20:33:52,180,600,108000,SELL
05.01.2019 21:36:16,170,900,153000,SELL
07.01.2019 09:47:19,190,800,152000,BUY
08.01.2019 02:53:57,203,900,182700,BUY
08.01.2019 22:03:14,197,300,59100,SELL
10.01.2019 02:50:00,216,1000,216000,BUY
11.01.2019 08:59:33,221,500,110500,BUY
12.01.2019 10:26:13,221,1000,221000,BUY
13.01.2019 03:40:03,228,700,159600,BUY
13.01.2019 08:12:25,239,600,143400,BUY
13.01.2019 13:38:49,251,800,200800,BUY
13.01.2019 15:53:44,268,300,80400,BUY
15.01.2019 06:04:48,291,600,174600,BUY
16.01.2019 06:42:24,311,200,62200,BUY
18.01.2019 01:30:32,323,800,258400,BUY
20.01.2019 00:30:17,332,500,166000,BUY
21.01.2019 16:52:19,350,800,280000,BUY
22.01.2019 10:56:24,321,1000,321000,SELL
24.01.2019 07:07:58,292,1000,292000,SELL
25.01.2019 05:06:44,275,1000,275000,SELL
26.01.2019 20:51:05,276,200,55200,BUY
28.01.2019 08:46:17,285,100,28500,BUY
29.01.2019 22:46:45,305,600,183000,BUY
31.01.2019 18:22:24,324,700,226800,BUY
01.02.2019 13:20:56,339,100,33900,BUY
02.02.2019 08:28:14,348,300,104400,BUY
02.02.2019 19:24:37,360,400,144000,BUY
03.02.2019 00:00:21,384,1000,384000,BUY
03.02.2019 17:06:19,391,100,39100,BUY
05.02.2019 02:55:33,376,1000,376000,SELL
07.02.2019 18:33:07,352,600,211200,SELL
09.02.2019 06:03:58,367,700,256900,BUY
10.02.2019 23:36:58,387,900,348300,BUY
12.02.2019 04:34:29,412,300,123600,BUY
14.02.2019 03:59:21,414,900,372600,BUY
14.02.2019 14:29:55,432,200,86400,BUY
14.02.2019 15:34:44,458,800,366400,BUY
16.02.2019 13:02:04,480,800,384000,BUY
19.02.2019 07:45:08,490,1000,490000,BUY
19.02.2019 10:11:24,508,900,457200,BUY
21.02.2019 20:21:04,500,500,250000,SELL
24.02.2019 02:33:23,514,900,462600,BUY
25.02.2019 05:56:34,529,100,52900,BUY
26.02.2019 10:29:39,534,100,53400,BUY
27.02.2019 02:21:13,538,100,53800,BUY
01.03.2019 12:25:28,541,500,270500,BUY
04.03.2019 04:42:49,545,200,109000,BUY
06.03.2019 02:17:57,515,400,206000,SELL
06.03.2019 14:34:27,514,900,462600,SELL
08.03.2019 02:11:57,497,200,99400,SELL
08.03.2019 06:37:23,524,200,104800,BUY
09.03.2019 10:21:51,553,700,387100,BUY
11.03.2019 06:43:02,582,500,291000,BUY
11.03.2019 08:34:13,597,900,537300,BUY
11.03.2019 13:21:29,605,700,423500,BUY
11.03.2019 16:24:58,607,100,60700,BUY
13.03.2019 22:59:56,632,200,126400,BUY
15.03.2019 20:48:25,652,600,391200,BUY
16.03.2019 18:13:21,638,800,510400,SELL
17.03.2019 08:18:23,610,600,366000,SELL
18.03.2019 01:30:21,574,400,229600,SELL
20.03.2019 04:21:55,569,700,398300,SELL
22.03.2019 01:04:53,558,1000,558000,SELL
24.03.2019 16:07:30,534,100,53400,SELL
26.03.2019 04:58:47,529,400,211600,SELL
27.03.2019 09:04:44,496,800,396800,SELL
27.03.2019 09:18:19,509,800,407200,BUY
28.03.2019 12:32:40,512,500,256000,BUY
29.03.2019 22:52:13,529,700,370300,BUY
01.04.2019 12:30:10,551,900,495900,BUY
02.04.2019 19:36:39,558,800,446400,BUY
03.04.2019 02:49:28,592,900,532800,BUY
03.04.2019 23:30:03,625,600,375000,BUY
05.04.2019 15:23:35,650,400,260000,BUY
07.04.2019 20:36:10,683,400,273200,BUY
08.04.2019 02:50:40,699,400,279600,BUY
11.04.2019 00:14:28,731,100,73100,BUY
12.04.2019 06:01:14,752,300,225600,BUY
15.04.2019 03:15:11,732,400,292800,SELL
17.04.2019 22:15:13,722,300,216600,SELL
18.04.2019 03:38:37,742,100,74200,BUY
