Region,IncomeGroup,Country
Latin America & Caribbean,High income,Aruba
South Asia,Low income,Afghanistan
Sub-Saharan Africa,Lower middle income,Angola
Europe & Central Asia,Upper middle income,Albania
Europe & Central Asia,High income,Andorra
Middle East & North Africa,High income,United Arab Emirates
Latin America & Caribbean,High income,Argentina
Europe & Central Asia,Upper middle income,Armenia
East Asia & Pacific,Upper middle income,American Samoa
Latin America & Caribbean,High income,Antigua and Barbuda
East Asia & Pacific,High income,Australia
Europe & Central Asia,High income,Austria
Europe & Central Asia,Upper middle income,Azerbaijan
Sub-Saharan Africa,Low income,Burundi
Europe & Central Asia,High income,Belgium
Sub-Saharan Africa,Low income,Benin
Sub-Saharan Africa,Low income,Burkina Faso
South Asia,Lower middle income,Bangladesh
Europe & Central Asia,Upper middle income,Bulgaria
Middle East & North Africa,High income,Bahrain
Latin America & Caribbean,High income,"Bahamas, The"
Europe & Central Asia,Upper middle income,Bosnia and Herzegovina
Europe & Central Asia,Upper middle income,Belarus
Latin America & Caribbean,Upper middle income,Belize
North America,High income,Bermuda
Latin America & Caribbean,Lower middle income,Bolivia
Latin America & Caribbean,Upper middle income,Brazil
Latin America & Caribbean,High income,Barbados
East Asia & Pacific,High income,Brunei Darussalam
South Asia,Lower middle income,Bhutan
Sub-Saharan Africa,Upper middle income,Botswana
Sub-Saharan Africa,Low income,Central African Republic
North America,High income,Canada
Europe & Central Asia,High income,Switzerland
Europe & Central Asia,High income,Channel Islands
Latin America & Caribbean,High income,Chile
East Asia & Pacific,Upper middle income,China
Sub-Saharan Africa,Lower middle income,Cote d'Ivoire
Sub-Saharan Africa,Lower middle income,Cameroon
Sub-Saharan Africa,Low income,"Congo, Dem. Rep."
Sub-Saharan Africa,Lower middle income,"Congo, Rep."
Latin America & Caribbean,Upper middle income,Colombia
Sub-Saharan Africa,Low income,Comoros
Sub-Saharan Africa,Lower middle income,Cabo Verde
Latin America & Caribbean,Upper middle income,Costa Rica
Latin America & Caribbean,Upper middle income,Cuba
Latin America & Caribbean,High income,Curaçao
Latin America & Caribbean,High income,Cayman Islands
Europe & Central Asia,High income,Cyprus
Europe & Central Asia,High income,Czech Republic
Europe & Central Asia,High income,Germany
Middle East & North Africa,Lower middle income,Djibouti
Latin America & Caribbean,Upper middle income,Dominica
Europe & Central Asia,High income,Denmark
Latin America & Caribbean,Upper middle income,Dominican Republic
